"id","partnoid","voucherno","refjobid","reffaultid","quantityrequired","demandedby","demandeddate","returnpartno","receipts","receiptr","receiptu","issues","issuer","issueu","issueddate","noofdays","stockbalances","stockbalancer","stockbalanceu","demandnumber","receivedby","remarks","dateupdated","dataentryclk","procurementtime","status","approvedby","approvaldate","itemcall"
"263","23296",,"239",,,,,,,,,"COMBINATION SWITCH",,,,,,,,,,,,,,,,,
"264","37093",,"354",,,,,,,,,"LOGIC CONTROL CARD",,,,,,,,,,,,,,,,,
"265","34030",,"129",,,,,,,,,"SPARKING PLUG",,,,,,,,,,,,,,,,,
"266","35776",,"345",,,,,,,,,"PROTECTIVE BAG",,,,,,,,,,,,,,,,,
"267","18661",,"115",,,,,,,,,"PAINT RFU PRIMING RED OXIDE",,,,,,,,,,,,,,,,,
"268","22982",,"299",,,,,,,,,"THROTTLE ADJUSTER",,,,,,,,,,,,,,,,,
"269","29669",,"287",,,,,,,,,"Insulator rear cabin bush",,,,,,,,,,,,,,,,,
"270","36759",,"58",,,,,,,,,"DRAIN COCK",,,,,,,,,,,,,,,,,
"271","28493",,"191",,,,,,,,,"RETAINER INPUT SHAFT BEARING",,,,,,,,,,,,,,,,,
"272","35152",,"430",,,,,,,,,"KNOB",,,,,,,,,,,,,,,,,
"273","21238",,"434",,,,,,,,,"REPAIR KIT (MSP 3/62) HAND CONTROL VALVE",,,,,,,,,,,,,,,,,
"274","33276",,"390",,,,,,,,,"Master Cylindrical repair kit",,,,,,,,,,,,,,,,,
"275","18579",,"497",,,,,,,,,"NAILS STEEL WIRE ROUND 25MM X 2 MM",,,,,,,,,,,,,,,,,
"276","37337",,"451",,,,,,,,,"BUTT ASSY",,,,,,,,,,,,,,,,,
"277","35354",,"387",,,,,,,,,"TAPER ROLLER BEARING",,,,,,,,,,,,,,,,,
"278","20119",,"384",,,,,,,,,"CYLINDER ASSY REAR WHEEL LH",,,,,,,,,,,,,,,,,
"279","24674",,"219",,,,,,,,,"Clutch Release brg",,,,,,,,,,,,,,,,,
"280","34733",,"486",,,,,,,,,"SPEEDOMETER DRIVE",,,,,,,,,,,,,,,,,
"281","36559",,"336",,,,,,,,,"TIMING BELT(136 TEETH)",,,,,,,,,,,,,,,,,
"282","35349",,"454",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"283","33474",,"384",,,,,,,,,"REGULATOR ASSY RH",,,,,,,,,,,,,,,,,
"284","10596912",,"489",,,,,,,,,"SODA ASHTECHNICAL",,,,,,,,,,,,,,,,,
"285","20000426",,"7",,,,,,,,,"CLUTCH FACING RING",,,,,,,,,,,,,,,,,
"286","29425",,"443",,,,,,,,,"Propeller Shaft Sprocket",,,,,,,,,,,,,,,,,
"287","36992",,"43",,,,,,,,,"CAP RECTING SPRING",,,,,,,,,,,,,,,,,
"288","35960",,"451",,,,,,,,,"Hose Rad Outlet",,,,,,,,,,,,,,,,,
"289","10347041",,"106",,,,,,,,,"SPEEDOMETER ASSY",,,,,,,,,,,,,,,,,
"290","28602",,"356",,,,,,,,,"Cover boot",,,,,,,,,,,,,,,,,
"291","34254",,"42",,,,,,,,,"(DELETED) LEAK OFF PIPE  FILTER TO TANK",,,,,,,,,,,,,,,,,
"292","10479573",,"335",,,,,,,,,"WC KIT",,,,,,,,,,,,,,,,,
"293","22078",,"342",,,,,,,,,"SEAL SUB ASSY COOLANT PUMP",,,,,,,,,,,,,,,,,
"294","34918",,"272",,,,,,,,,"CIRCUIT CARD ASSY KEY BOARD ASSY",,,,,,,,,,,,,,,,,
"295","14729",,"172",,,,,,,,,"SWITCH ASSY COMBINATION",,,,,,,,,,,,,,,,,
"296","36998",,"155",,,,,,,,,"POTENT METER LOUDENSS",,,,,,,,,,,,,,,,,
"297","34203",,"106",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"298","25450",,"441",,,,,,,,,"ASSY BALL JOINT LH",,,,,,,,,,,,,,,,,
"299","18691",,"248",,,,,,,,,"ADHESIVE SYNTHETIC RESIN ARALDITE AY-105",,,,,,,,,,,,,,,,,
"300","20000399",,"167",,,,,,,,,"RAM DDR 3 8GB (SERVER)",,,,,,,,,,,,,,,,,
"301","18695",,"32",,,,,,,,,"CLOTH DOSUTIE COTTON BLUE 91 CM WIDE",,,,,,,,,,,,,,,,,
"302","24838",,"458",,,,,,,,,"RUBBER GROMENT",,,,,,,,,,,,,,,,,
"303","35302",,"442",,,,,,,,,"FUSE BOX (SUMO)",,,,,,,,,,,,,,,,,
"304","36857",,"69",,,,,,,,,"OIL SEAL (17-29XS)",,,,,,,,,,,,,,,,,
"305","34819",,"201",,,,,,,,,"PROTECTIVE BAG",,,,,,,,,,,,,,,,,
"306","34982",,"285",,,,,,,,,"WIRING HARNESS",,,,,,,,,,,,,,,,,
"307","24771",,"306",,,,,,,,,"ASSY FRONT SPRG",,,,,,,,,,,,,,,,,
"308","23363",,"334",,,,,,,,,"TUBE, BREATHER",,,,,,,,,,,,,,,,,
"309","36016",,"464",,,,,,,,,"ON/OFF SWITCH",,,,,,,,,,,,,,,,,
"310","38088",,"37",,,,,,,,,"SPARE WHEEL LIFTING ROPE",,,,,,,,,,,,,,,,,
"311","35088",,"309",,,,,,,,,"(DELETED) WASHER SPR SST M3",,,,,,,,,,,,,,,,,
"312","36797",,"372",,,,,,,,,"TAPPER ROLLER BRG INNER (130X63.5X36.94)",,,,,,,,,,,,,,,,,
"313","23044",,"147",,,,,,,,,"FLY WHEEL DRIVING SIDE",,,,,,,,,,,,,,,,,
"314","35901",,"372",,,,,,,,,"GASKET FEED PUMP",,,,,,,,,,,,,,,,,
"315","34978",,"352",,,,,,,,,"CONNECTOR ASSY ELECTRICAL FILTOR ASSY 3Y",,,,,,,,,,,,,,,,,
"316","33747",,"321",,,,,,,,,"OIL SEAL",,,,,,,,,,,,,,,,,
"317","10337011",,"415",,,,,,,,,"HOSE  METALLIC",,,,,,,,,,,,,,,,,
"318","22358",,"163",,,,,,,,,"INSUL BUSH",,,,,,,,,,,,,,,,,
"319","22001",,"402",,,,,,,,,"BALL JOINT",,,,,,,,,,,,,,,,,
"320","35284",,"212",,,,,,,,,"CAB LIFT HANDLE 7/8 ODX11 BG THK 1 MTR",,,,,,,,,,,,,,,,,
"321","34708",,"457",,,,,,,,,"SPRING BRAKE SHOE RETURN ",,,,,,,,,,,,,,,,,
"322","10332343",,"444",,,,,,,,,"BRAKE SHOE ASSY FRONT",,,,,,,,,,,,,,,,,
"323","20000307",,"163",,,,,,,,,"BC KIT CARD",,,,,,,,,,,,,,,,,
"324","37062",,"440",,,,,,,,,"Power Supply Card (Konica)",,,,,,,,,,,,,,,,,
"325","37337",,"1",,,,,,,,,"BUTT ASSY",,,,,,,,,,,,,,,,,
"326","22325",,"255",,,,,,,,,"ASSY TEMP GAUGE",,,,,,,,,,,,,,,,,
"327","34386",,"355",,,,,,,,,"HALOGEN LAMP 24V 75/70 W",,,,,,,,,,,,,,,,,
"328","16752",,"130",,,,,,,,,"LENS LH (FRONT LAMP)",,,,,,,,,,,,,,,,,
"329","34071",,"157",,,,,,,,,"COLLAR",,,,,,,,,,,,,,,,,
"330","22393",,"116",,,,,,,,,"RUBBER MOULD W/S GLASS",,,,,,,,,,,,,,,,,
"331","35437",,"57",,,,,,,,,"CONNECTING HEAD KIT FOR COUPLING",,,,,,,,,,,,,,,,,
"332","35243",,"112",,,,,,,,,"DOOR PULL HANDLE",,,,,,,,,,,,,,,,,
"333","29467",,"185",,,,,,,,,"Oil Seal ring",,,,,,,,,,,,,,,,,
"334","33634",,"496",,,,,,,,,"TUBING COPPER ROUND SEAMLESS OD 5MM X WT",,,,,,,,,,,,,,,,,
"335","20000393",,"192",,,,,,,,,"SIDE WINDOW GLASS BEEDING",,,,,,,,,,,,,,,,,
"336","20000176",,"357",,,,,,,,,"4 POLE CONNECTOR",,,,,,,,,,,,,,,,,
"337","29673",,"234",,,,,,,,,"W/S door outer upper RH",,,,,,,,,,,,,,,,,
"338","34004",,"414",,,,,,,,,"ASSY OF WIDE ANGLE MIRROR",,,,,,,,,,,,,,,,,
"339","38009",,"499",,,,,,,,,"2-POLE ISOLATOR SWITCH",,,,,,,,,,,,,,,,,
"340","34641",,"9",,,,,,,,,"LIGHT MARKER CLEARANCE/ROOF LAMP RH",,,,,,,,,,,,,,,,,
"341","35188",,"176",,,,,,,,,"REGULATOR ASSY FRT DR WINDOW LH ",,,,,,,,,,,,,,,,,
"342","22437",,"440",,,,,,,,,"SHIM 0.14MM THICK",,,,,,,,,,,,,,,,,
"343","34497",,"487",,,,,,,,,"CLAM HOSE WORM DRIVE 2.3/4 TO 3.1/2",,,,,,,,,,,,,,,,,
"344","35063",,"214",,,,,,,,,"PANEL ELECTRONIC CIRCUIT 1KHZ OSCILLATOR",,,,,,,,,,,,,,,,,
"345","33876",,"240",,,,,,,,,"HEAD LAMP (F-8043900) (6220-004178)",,,,,,,,,,,,,,,,,
"346","10333308",,"157",,,,,,,,,"RING GEAR",,,,,,,,,,,,,,,,,
"347","10606127",,"13",,,,,,,,,"GUIDE BLOCK",,,,,,,,,,,,,,,,,
"348","35755",,"339",,,,,,,,,"TRAFFICATOR ASSY FRONT LH",,,,,,,,,,,,,,,,,
"349","20000379",,"366",,,,,,,,,"POWER ADOPTER EPSON",,,,,,,,,,,,,,,,,
"350","34183",,"107",,,,,,,,,"HEX NUT M10 IS:1367(PART-6) CL6",,,,,,,,,,,,,,,,,
"351","33952",,"396",,,,,,,,,"CABLE ASSEMBLY SPECIAL PURPOSE",,,,,,,,,,,,,,,,,
"352","34632",,"219",,,,,,,,,"COMBI SWITCH(MS HARNESS)",,,,,,,,,,,,,,,,,
"353","35787",,"22",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"354","21665",,"200",,,,,,,,,"PLUG ELELCTRICAL 4 POLE 60A 500V AC",,,,,,,,,,,,,,,,,
"355","33555",,"102",,,,,,,,,"FILTER ELMENT (COIL TYPE)",,,,,,,,,,,,,,,,,
"356","36462",,"189",,,,,,,,,"CABLE ASSY CONTROL",,,,,,,,,,,,,,,,,
"357","10452408",,"344",,,,,,,,,"LAMP 24V 2 W",,,,,,,,,,,,,,,,,
"358","36583",,"350",,,,,,,,,"PIPE UNION BOLT 8M12X1.5",,,,,,,,,,,,,,,,,
"359","36652",,"341",,,,,,,,,"MONITOR LED 17'' AOC",,,,,,,,,,,,,,,,,
"360","33849",,"428",,,,,,,,,"FILTER ASSY OIL",,,,,,,,,,,,,,,,,
"361","37550",,"288",,,,,,,,,"HAND BRAKE CABLE",,,,,,,,,,,,,,,,,
"362","37032",,"164",,,,,,,,,"(DELETED) FLAT CABLE ASSY",,,,,,,,,,,,,,,,,
"363","35712",,"105",,,,,,,,,"AIR DRYER ASSY",,,,,,,,,,,,,,,,,
"364","35454",,"337",,,,,,,,,"IMPACT PROTECTOR MUZZLE",,,,,,,,,,,,,,,,,
"365","23073",,"239",,,,,,,,,"SPRING VALVE INNER",,,,,,,,,,,,,,,,,
"366","36474",,"9",,,,,,,,,"PRESSURE ROLLER (TOSHIBA)",,,,,,,,,,,,,,,,,
"367","38052",,"80",,,,,,,,,"ASSY LUB OIL PUMP",,,,,,,,,,,,,,,,,
"368","28080",,"403",,,,,,,,,"SLIP RING ASSY",,,,,,,,,,,,,,,,,
"369","33792",,"435",,,,,,,,,"HEX NUT M5  IS:1364(PART-III) 8-1983",,,,,,,,,,,,,,,,,
"370","35349",,"321",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"371","37758",,"289",,,,,,,,,"BEARING BLOCK (ANTI ROLL BAR)",,,,,,,,,,,,,,,,,
"372","35314",,"396",,,,,,,,,"EYE PIECE ASSY  OPTICAL INSTRUMENT",,,,,,,,,,,,,,,,,
"373","38048",,"403",,,,,,,,,"WHEEL BEARING",,,,,,,,,,,,,,,,,
"374","37602",,"371",,,,,,,,,"FRT SHOCK ABSORBER (GAS TYPE)",,,,,,,,,,,,,,,,,
"375","10332322",,"222",,,,,,,,,"ASSY OIL FILTER",,,,,,,,,,,,,,,,,
"376","20000268",,"45",,,,,,,,,"FUEL FILTER SECONDARY",,,,,,,,,,,,,,,,,
"377","14611",,"3",,,,,,,,,"IGNITION SWITCH C/W RUBBER RIN",,,,,,,,,,,,,,,,,
"378","33432",,"108",,,,,,,,,"FILTER FUEL",,,,,,,,,,,,,,,,,
"379","21848",,"34",,,,,,,,,"TERMINAL",,,,,,,,,,,,,,,,,
"380","35295",,"282",,,,,,,,,"FILTER FUEL (3903640)",,,,,,,,,,,,,,,,,
"381","32880",,"265",,,,,,,,,"STEEL BAR CARBON HOT ROLLED ROUND 16MM",,,,,,,,,,,,,,,,,
"382","34290",,"217",,,,,,,,,"TRAFFICATOR ASSY LH FRONT",,,,,,,,,,,,,,,,,
"383","37244",,"92",,,,,,,,,"SWITCH ROTARY 2 WAFERS 6 POLE 3 POSITION",,,,,,,,,,,,,,,,,
"384","37581",,"498",,,,,,,,,"BEARING (30205)",,,,,,,,,,,,,,,,,
"385","23816",,"224",,,,,,,,,"BEARING ROLLER  NEEDLE (F-0248710)",,,,,,,,,,,,,,,,,
"386","20000137",,"484",,,,,,,,,"GLASS REAR",,,,,,,,,,,,,,,,,
"387","35604",,"468",,,,,,,,,"ELECTRONIC FLASHER KIT",,,,,,,,,,,,,,,,,
"388","35148",,"228",,,,,,,,,"NUT",,,,,,,,,,,,,,,,,
"389","24889",,"73",,,,,,,,,"UNLOADER VALVE ASSY",,,,,,,,,,,,,,,,,
"390","34457",,"444",,,,,,,,,"REGULATOR VEHICLE WINDOW",,,,,,,,,,,,,,,,,
"391","35592",,"79",,,,,,,,,"CONSTANT-MESH SHIFTER FORK",,,,,,,,,,,,,,,,,
"392","20000236",,"334",,,,,,,,,"AIR FILTER",,,,,,,,,,,,,,,,,
"393","10450506",,"187",,,,,,,,,"ASSY PIPE(SIG PUMP TO POWER STG TANK)",,,,,,,,,,,,,,,,,
"394","36592",,"270",,,,,,,,,"CABIN LIFTING UNION",,,,,,,,,,,,,,,,,
"395","37366",,"493",,,,,,,,,"PIN STRAIGHT HEADLESS FIXING BRACKET",,,,,,,,,,,,,,,,,
"396","35833",,"54",,,,,,,,,"LEVER ASSY RH",,,,,,,,,,,,,,,,,
"397","34691",,"235",,,,,,,,,"SPACER RING (130 050 762 514)",,,,,,,,,,,,,,,,,
"398","35492",,"200",,,,,,,,,"RELAY MAIN & FUEL",,,,,,,,,,,,,,,,,
"399","35060",,"227",,,,,,,,,"SWITCH ROTARY 2 WAFER 8 POLE 2 POSITION",,,,,,,,,,,,,,,,,
"400","35583",,"187",,,,,,,,,"MINUS PLATE",,,,,,,,,,,,,,,,,
"401","28922",,"464",,,,,,,,,"TRIM DOOR RH",,,,,,,,,,,,,,,,,
"402","37230",,"142",,,,,,,,,"BUSH C.E. ARMATURE",,,,,,,,,,,,,,,,,
"403","20000211",,"344",,,,,,,,,"WEIGHT 25 GM",,,,,,,,,,,,,,,,,
"404","38007",,"245",,,,,,,,,"MAIN WRING HARNESS",,,,,,,,,,,,,,,,,
"405","33550",,"242",,,,,,,,,"ELEMEN T",,,,,,,,,,,,,,,,,
"406","35996",,"180",,,,,,,,,"SYNCHRO RING 3RD/4TH",,,,,,,,,,,,,,,,,
"407","25290",,"339",,,,,,,,,"OIL SEAL FRONT",,,,,,,,,,,,,,,,,
"408","24674",,"332",,,,,,,,,"Clutch Release brg",,,,,,,,,,,,,,,,,
"409","36260",,"182",,,,,,,,,"LAMP ASSY REAR LH",,,,,,,,,,,,,,,,,
"410","35031",,"38",,,,,,,,,"LUB OIL FILTER ELEMENT",,,,,,,,,,,,,,,,,
"411","37399",,"228",,,,,,,,,"SPRING HELICAL TORSION FOR HAMMER",,,,,,,,,,,,,,,,,
"412","24756",,"455",,,,,,,,,"GEAR REAR",,,,,,,,,,,,,,,,,
"413","20000232",,"184",,,,,,,,,"DIGITAL DISPLAY",,,,,,,,,,,,,,,,,
"414","36164",,"419",,,,,,,,,"S/A OF REAR SPRING",,,,,,,,,,,,,,,,,
"415","36321",,"214",,,,,,,,,"PISTON RING SET-EA10 (102.12)",,,,,,,,,,,,,,,,,
"416","10444618",,"445",,,,,,,,,"LEVER GEAR SHIFTING CONTROL",,,,,,,,,,,,,,,,,
"417","35234",,"133",,,,,,,,,"FUEL FILTER CUM WATER SEPARATOR",,,,,,,,,,,,,,,,,
"418","35181",,"111",,,,,,,,,"MAIN PRINTED CARD ASSY (PCBI)",,,,,,,,,,,,,,,,,
"419","18900",,"403",,,,,,,,,"CHALK FRENCHTECHNICAL",,,,,,,,,,,,,,,,,
"420","36671",,"454",,,,,,,,,"HOSE 1  ID 80 LONG",,,,,,,,,,,,,,,,,
"421","37993",,"249",,,,,,,,,"CYL HEAD GASKET",,,,,,,,,,,,,,,,,
"422","25164",,"71",,,,,,,,,"CABLE ASSY RADIO FREQUENCY FLAT 200MM WI",,,,,,,,,,,,,,,,,
"423","21488",,"462",,,,,,,,,"BELT VEE ENDLESS INDUSTRIL",,,,,,,,,,,,,,,,,
"424","35027",,"256",,,,,,,,,"JOINT SUMP",,,,,,,,,,,,,,,,,
"425","10344313",,"76",,,,,,,,,"CYL STD KIT -A) PIN PISTON-1",,,,,,,,,,,,,,,,,
"426","34418",,"158",,,,,,,,,"CIRCUIT BOARD",,,,,,,,,,,,,,,,,
"427","37750",,"133",,,,,,,,,"ASSY VACCUM HOSE FOR TC",,,,,,,,,,,,,,,,,
"428","35818",,"362",,,,,,,,,"VALVE INLET",,,,,,,,,,,,,,,,,
"429","21197",,"107",,,,,,,,,"SPARK PLUG (CHAMPION RC 8 YC)",,,,,,,,,,,,,,,,,
"430","35366",,"453",,,,,,,,,"DV ASSY",,,,,,,,,,,,,,,,,
"431","34050",,"258",,,,,,,,,"OIL SEAL (FRONT AXIL)",,,,,,,,,,,,,,,,,
"432","36663",,"332",,,,,,,,,"BUSHING RUBBER/PIVOT BUSH",,,,,,,,,,,,,,,,,
"433","37729",,"214",,,,,,,,,"GASKET CYLINDER HEAD-MLS",,,,,,,,,,,,,,,,,
"434","28000",,"122",,,,,,,,,"PA & REG-A2FH 25W",,,,,,,,,,,,,,,,,
"435","24904",,"463",,,,,,,,,"REPAIR KIT (MSP 3/40)",,,,,,,,,,,,,,,,,
"436","37396",,"119",,,,,,,,,"SPRING CATCH LEG BIPOD",,,,,,,,,,,,,,,,,
"437","34596",,"324",,,,,,,,,"BRAKE CIRCUIT SIGNAL LAMP",,,,,,,,,,,,,,,,,
"438","10324016",,"11",,,,,,,,,"CLUTCH RELEASE BRG",,,,,,,,,,,,,,,,,
"439","22267",,"369",,,,,,,,,"BULB 12 V 21/5W",,,,,,,,,,,,,,,,,
"440","34464",,"97",,,,,,,,,"SENSOR ASSY MAF",,,,,,,,,,,,,,,,,
"441","37723",,"369",,,,,,,,,"SAW BLADE HAND",,,,,,,,,,,,,,,,,
"442","10606082",,"440",,,,,,,,,"BEARING BUSHING",,,,,,,,,,,,,,,,,
"443","35378",,"386",,,,,,,,,"BY PASS FILTER",,,,,,,,,,,,,,,,,
"444","37399",,"244",,,,,,,,,"SPRING HELICAL TORSION FOR HAMMER",,,,,,,,,,,,,,,,,
"445","33990",,"150",,,,,,,,,"GROOVED NUT",,,,,,,,,,,,,,,,,
"446","36173",,"3",,,,,,,,,"KNOB TRANSMISSION SELECTOR LEVER",,,,,,,,,,,,,,,,,
"447","20000378",,"429",,,,,,,,,"SIREN 24V",,,,,,,,,,,,,,,,,
"448","34214",,"178",,,,,,,,,"CIRCLIP 34X1.5N IS:3075(PART-II)1986",,,,,,,,,,,,,,,,,
"449","35206",,"258",,,,,,,,,"GASKET",,,,,,,,,,,,,,,,,
"450","34174",,"441",,,,,,,,,"WASHER SPRING TENSION(107-214-113-080)",,,,,,,,,,,,,,,,,
"451","35743",,"24",,,,,,,,,"REDUCTION SATELLITE",,,,,,,,,,,,,,,,,
"452","25915",,"154",,,,,,,,,"DUBBIN PROTECTIVE",,,,,,,,,,,,,,,,,
"453","35120",,"450",,,,,,,,,"PIN STRIGHT HEADLESS GAS BLOCK",,,,,,,,,,,,,,,,,
"454","37560",,"403",,,,,,,,,"TAIL LIGHT ASSY LEFT",,,,,,,,,,,,,,,,,
"455","36786",,"191",,,,,,,,,"LOGIC CARD BROTHER PRINTER ",,,,,,,,,,,,,,,,,
"456","34734",,"229",,,,,,,,,"PRISMATIC SPRING",,,,,,,,,,,,,,,,,
"457","32884",,"432",,,,,,,,,"STEEL BAR CARBON HOT ROLLED ROUND 8MM",,,,,,,,,,,,,,,,,
"458","37633",,"121",,,,,,,,,"DRIVE SHAFT WITH RAITO 1:8:98",,,,,,,,,,,,,,,,,
"459","10338197",,"440",,,,,,,,,"COMBINATION SWITCH",,,,,,,,,,,,,,,,,
"460","34494",,"411",,,,,,,,,"CABLE ASSY MEM (SYSTEM UNIT)",,,,,,,,,,,,,,,,,
"461","33509",,"155",,,,,,,,,"BEARING BUSH INTER BKT",,,,,,,,,,,,,,,,,
"462","10410875",,"308",,,,,,,,,"ELECTRODE WELDING CAST IRON 2.50MM",,,,,,,,,,,,,,,,,
"463","35899",,"224",,,,,,,,,"GASKET FOR FIP",,,,,,,,,,,,,,,,,
"464","34824",,"240",,,,,,,,,"SCREW DIAPHRAGM NO -8 BA X 1.52",,,,,,,,,,,,,,,,,
"465","33484",,"334",,,,,,,,,"CATRIDGE LUB OIL FILTER",,,,,,,,,,,,,,,,,
"466","35511",,"183",,,,,,,,,"WHEEL CYL ASSY FRONT",,,,,,,,,,,,,,,,,
"467","35672",,"443",,,,,,,,,"REAR VIEW MIRROR",,,,,,,,,,,,,,,,,
"468","36055",,"294",,,,,,,,,"BOLT HEX M14X2CPX65 LONG",,,,,,,,,,,,,,,,,
"469","10323205",,"322",,,,,,,,,"SHAFT SEAL",,,,,,,,,,,,,,,,,
"470","23374",,"281",,,,,,,,,"O RING 14 MM",,,,,,,,,,,,,,,,,
"471","10343922",,"364",,,,,,,,,"WASHER FLOAT CAP CARBURATOR",,,,,,,,,,,,,,,,,
"472","37598",,"185",,,,,,,,,"REAR SHOCK ABSORBER (GAS TYPE)",,,,,,,,,,,,,,,,,
"473","35193",,"54",,,,,,,,,"STATER ASSY",,,,,,,,,,,,,,,,,
"474","36100",,"425",,,,,,,,,"CLIP CHAMBER HOSE",,,,,,,,,,,,,,,,,
"475","33703",,"106",,,,,,,,,"KEYBOARD DATA ENTRY SEALED",,,,,,,,,,,,,,,,,
"476","20000226",,"483",,,,,,,,,"COMBINATION SWITCH",,,,,,,,,,,,,,,,,
"477","20000022",,"168",,,,,,,,,"JAR WITH LID",,,,,,,,,,,,,,,,,
"478","37114",,"281",,,,,,,,,"CABIN PUMP KIT",,,,,,,,,,,,,,,,,
"479","35680",,"282",,,,,,,,,"COPPER WASHER ",,,,,,,,,,,,,,,,,
"480","35410",,"145",,,,,,,,,"ASSY PIPE",,,,,,,,,,,,,,,,,
"481","33657",,"301",,,,,,,,,"HOSE",,,,,,,,,,,,,,,,,
"482","20675",,"379",,,,,,,,,"FIELD COIL",,,,,,,,,,,,,,,,,
"483","34549",,"338",,,,,,,,,"(DELETED) HOSE AIR INTAKE",,,,,,,,,,,,,,,,,
"484","27759",,"5",,,,,,,,,"PIN STRAIGHT HEADLESS COLLAR BARREL",,,,,,,,,,,,,,,,,
"485","36489",,"346",,,,,,,,,"MODULATOR RADIO TRANSMITTER UNIT (LM 5)",,,,,,,,,,,,,,,,,
"486","36764",,"121",,,,,,,,,"RING  RETAINING",,,,,,,,,,,,,,,,,
"487","14604",,"474",,,,,,,,,"PETROL TANK CAP ASSY LOCKABLE",,,,,,,,,,,,,,,,,
"488","34186",,"469",,,,,,,,,"WASHER SPLIT (107 214 015 080)",,,,,,,,,,,,,,,,,
"489","34237",,"498",,,,,,,,,"TRAFFICATOR ASSY RH REAR",,,,,,,,,,,,,,,,,
"490","20000378",,"422",,,,,,,,,"SIREN 24V",,,,,,,,,,,,,,,,,
"491","10450890",,"126",,,,,,,,,"SLECTOR AND SHIFTER SHAFT",,,,,,,,,,,,,,,,,
"492","35020",,"429",,,,,,,,,"PROCEESOR A 1B",,,,,,,,,,,,,,,,,
"493","35666",,"265",,,,,,,,,"PHOSPHOR BRONZE ROD ROUND (CAST BARS  60",,,,,,,,,,,,,,,,,
"494","21225",,"47",,,,,,,,,"CABLE ASSY SPEEDOMETER",,,,,,,,,,,,,,,,,
"495","21224",,"226",,,,,,,,,"CALIPER ASSY DISC BRAKE",,,,,,,,,,,,,,,,,
"496","10406929",,"446",,,,,,,,,"CATCH MAGAZINE (INVESTMENT)",,,,,,,,,,,,,,,,,
"497","33943",,"93",,,,,,,,,"FILTER LOW PASS B2",,,,,,,,,,,,,,,,,
"498","20000227",,"232",,,,,,,,,"FAN BELT -54",,,,,,,,,,,,,,,,,
"499","35397",,"431",,,,,,,,,"FLANGE",,,,,,,,,,,,,,,,,
"500","35006",,"249",,,,,,,,,"MICRO CIRCUIT MEMORY (FILL GUN MK-IV)",,,,,,,,,,,,,,,,,
