"faultid","subcatcode","refsubsystem","faultcode","faultnumber","faults","repairtimeh","repairtimem","remarks","nooftrademen","workdone","critical","scheduled","disable"
"405","909.0","28.0","3.0","A00026003","Cdrs dome lamp glass bkn (LIGHTING SYS) A00026003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"406","909.0","28.0","4.0","A00026004","Cdrs fan N/W  (LIGHTING SYS) A00026004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"407","909.0","28.0","5.0","A00026005","Convoy light N/W  (LIGHTING SYS) A00026005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"408","909.0","28.0","6.0","A00026006","Convoy light N/W  (LIGHTING SYS) A00026006","0.0","30.0","repeat","1.0","NaN","0","1","1"
"409","909.0","28.0","7.0","A00026007","Dvr support light glass cracked (LIGHTING SYS) A00026007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"410","909.0","28.0","8.0","A00026008","GDI illuminator N/W  (LIGHTING SYS) A00026008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"411","909.0","28.0","9.0","A00026009","GDI lamp not glowing (LIGHTING SYS) A00026009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"412","909.0","28.0","10.0","A00026010","Indicator N/W  (LIGHTING SYS) A00026010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"413","909.0","28.0","11.0","A00026011","KDS light & brake light N/W  (LIGHTING SYS) A00026011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"414","909.0","28.0","12.0","A00026012","KDS light & brake light N/W (LIGHTING SYS) A00026012","0.0","30.0","repeat","1.0","NaN","0","1","1"
"415","909.0","29.0","1.0","A00027001","Coarse filter clogged (LUB SYS) A00027001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"416","909.0","29.0","2.0","A00027002","COC blocked (LUB SYS) A00027002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"417","909.0","29.0","3.0","A00027003","COC rotor thread W/O (LUB SYS) A00027003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"418","909.0","29.0","4.0","A00027004","Drain plug Thread W/O (LUB SYS) A00027004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"419","909.0","29.0","5.0","A00027005","Eng oil contaminated (LUB SYS) A00027005","0.0","30.0","NaN","1.0","NaN","1","1","0"
"420","909.0","29.0","6.0","A00027006","Eng oil dilution (LUB SYS) A00027006","0.0","30.0","NaN","1.0","NaN","1","1","0"
"421","909.0","29.0","7.0","A00027007","Eng oil leaking from cyl head (LUB SYS) A00027007","0.0","30.0","NaN","1.0","NaN","1","1","0"
"422","909.0","29.0","8.0","A00027008","Eng oil leaking (LUB SYS) A00027008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"423","909.0","29.0","9.0","A00027009","Eng oil pressure low (LUB SYS) A00027009","0.0","30.0","NaN","1.0","NaN","1","1","0"
"424","909.0","29.0","10.0","A00027010","Eng oil pump drive shaft bkn (LUB SYS) A00027010","0.0","30.0","NaN","1.0","NaN","1","1","0"
"425","909.0","29.0","11.0","A00027011","Eng oil seal leaking from crank shaft end (LUB SYS) A00027011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"426","909.0","29.0","12.0","A00027012","High oil consumption (LUB SYS) A00027012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"427","909.0","29.0","13.0","A00027013","High oil consumption (LUB SYS) A00027013","0.0","30.0","NaN","1.0","NaN","0","1","1"
"428","909.0","29.0","14.0","A00027014","Hose Pipe perished (LUB SYS) A00027014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"429","909.0","29.0","15.0","A00027015","Oil leak from crankshaft endplug  (LUB SYS) A00027015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"430","909.0","29.0","16.0","A00027016","Main Oil Pump N/W (LUB SYS) A00027016","0.0","30.0","NaN","1.0","NaN","1","1","0"
"431","909.0","29.0","17.0","A00027017","Main Oil tank leaking  (LUB SYS) A00027017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"432","909.0","29.0","18.0","A00027018","Oil filter dirty (LUB SYS) A00027018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"433","909.0","30.0","1.0","A00028001","Ancy Work (MISC TASKS) A00028001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"434","909.0","30.0","2.0","A00028002","Documentation  (MISC TASKS) A00028002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"435","909.0","30.0","3.0","A00028003","Cable Faulty (MISC TASKS) A00028003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"436","909.0","30.0","4.0","A00028004","Oil Change Due (MISC TASKS) A00028004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"437","909.0","30.0","5.0","A00028005","Misc Repairs (MISC TASKS) A00028005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"438","909.0","30.0","6.0","A00028006","Series Exam carried out (MISC TASKS) A00028006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"439","909.0","30.0","7.0","A00028007","Supervision (MISC TASKS) A00028007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"440","909.0","30.0","8.0","A00028008","TM-I maint task due  (MISC TASKS) A00028008","72.0","30.0","NaN","3.0","NaN","0","2","0"
"441","909.0","30.0","9.0","A00028009","TM-II maint task due (MISC TASKS) A00028009","72.0","30.0","NaN","3.0","NaN","0","2","0"
"442","909.0","31.0","1.0","A00029001","Cdr cupola traverse hard  (MISC_ARMT) A00029001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"443","909.0","31.0","2.0","A00029002","Cdr cupola N/W  (MISC_ARMT) A00029002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"444","909.0","31.0","3.0","A00029003","Gnr cupola traverse hard  (MISC_ARMT) A00029003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"445","909.0","31.0","4.0","A00029004","After Firing Check (MISC_ARMT) A00029004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"446","909.0","31.0","5.0","A00029005","Pre Firing Insp Check  (MISC_ARMT) A00029005","0.0","30.0","NaN","1.0","NaN","0","2","0"
"447","909.0","31.0","6.0","A00029006","Mantlet Cover Seal UNSV  (MISC_ARMT) A00029006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"448","909.0","31.0","7.0","A00029007","Mantlet cover torn (MISC_ARMT) A00029007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"449","909.0","31.0","8.0","A00029008","Mis Fire during Fd Firing (MISC_ARMT) A00029008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"450","909.0","31.0","9.0","A00029009","SI (Strip Inspection)Carried Out  (MISC_ARMT) A00029009","0.0","30.0","NaN","1.0","NaN","0","2","0"
"451","909.0","31.0","10.0","A00029010","Retainer bkn (MISC_ARMT) A00029010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"452","909.0","31.0","11.0","A00029011","Barrel removed and New Fitted  (MISC_ARMT) A00029011","12.0","30.0","NaN","3.0","NaN","0","1","0"
"453","909.0","31.0","12.0","A00029012","Smoke Generator Eqpt N/W (MISC_ARMT) A00029012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"454","909.0","32.0","1.0","A00030001","Dvr emergency hatch seal perished (MISC_AUTO) A00030001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"455","909.0","32.0","2.0","A00030002","KMT-6 mine plough supporting arm bkn (MISC_AUTO) A00030002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"456","909.0","32.0","3.0","A00030003","Lt side mine plough base plate hole not aligned  (MISC_AUTO) A00030003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"457","909.0","32.0","4.0","A00030004","Smoke generating eqpt N/W (MISC_AUTO) A00030004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"458","909.0","32.0","5.0","A00030005","Smoke sys defective (MISC_AUTO) A00030005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"459","909.0","33.0","1.0","A00031001","IR light filter glass bkn (MISC_ELECT) A00031001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"460","909.0","33.0","2.0","A00031002","Dynamo N/W  (MISC_ELECT) A00031002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"461","909.0","33.0","3.0","A00031003","Dynamo armature shaft Bkn (MISC_ELECT) A00031003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"462","909.0","33.0","4.0","A00031004","Lamp TN-28-10 UNSV (MISC_ELECT) A00031004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"463","909.0","33.0","5.0","A00031005","All Lights reqd to be checked  (MISC_ELECT) A00031005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"464","909.0","33.0","6.0","A00031006","Internal Wiring Faulty  (MISC_ELECT) A00031006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"465","909.0","33.0","7.0","A00031007","Socket Bkn (MISC_ELECT) A00031007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"466","909.0","33.0","8.0","A00031008","Main Switch N/W (MISC_ELECT) A00031008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"467","909.0","33.0","9.0","A00031009","Wiper N/W (MISC_ELECT) A00031009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"468","909.0","33.0","10.0","A00031010","Wire loom short (MISC_ELECT) A00031010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"469","909.0","33.0","11.0","A00031011","Reticule illumination lamp of 1G46 not glowing (MISC_ELECT) A00031011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"470","909.0","34.0","1.0","A00032001","After cooling initialising show the MSS off (MISC_FCS) A00032001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"471","909.0","34.0","2.0","A00032002","Bore sight not aligned (MISC_FCS) A00032002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"472","909.0","34.0","3.0","A00032003","CDR VVD N/W  (MISC_FCS) A00032003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"473","909.0","34.0","4.0","A00032004","Elevating hand wheel firing cct N/W  (MISC_FCS) A00032004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"474","909.0","34.0","5.0","A00032005","Firing cct N/W (MISC_FCS) A00032005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"475","909.0","34.0","6.0","A00032006","Firing electromagnet faulty  (MISC_FCS) A00032006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"476","909.0","34.0","7.0","A00032007","High drift laying mark of gnr sight 1G46  (MISC_FCS) A00032007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"477","909.0","34.0","8.0","A00032008","High drift rate in  TKN 4S  (MISC_FCS) A00032008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"478","909.0","34.0","9.0","A00032009","Horizontal stripes appear in both VVDs  (MISC_FCS) A00032009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"479","909.0","34.0","10.0","A00032010","Image blinking in both VVD  (MISC_FCS) A00032010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"480","909.0","34.0","11.0","A00032011","KK contact faulty (MISC_FCS) A00032011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"481","909.0","34.0","12.0","A00032012","LRF  N/W  (MISC_FCS) A00032012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"482","909.0","34.0","13.0","A00032013","LRF shows the improper range (MISC_FCS) A00032013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"483","909.0","34.0","14.0","A00032014","Machine Gun Not firing  (MISC_FCS) A00032014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"484","909.0","34.0","15.0","A00032015","Master arrow of sight 1G 46 automatically moves down & left non zeroing tank after 8 years (MISC_FCS) A00032015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"485","909.0","34.0","16.0","A00032016","Mirror unit defective  (MISC_FCS) A00032016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"486","909.0","34.0","17.0","A00032017","Night channel of TKN-4S N/W (MISC_FCS) A00032017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"487","909.0","34.0","18.0","A00032018","Night graticule not visible (MISC_FCS) A00032018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"488","909.0","34.0","19.0","A00032019","No display in cdr's VVD  (MISC_FCS) A00032019","0.0","30.0","NaN","1.0","NaN","0","1","0"
"489","909.0","34.0","20.0","A00032020","Range not displayed in 1G46 (MISC_FCS) A00032020","0.0","30.0","NaN","1.0","NaN","0","1","0"
"490","909.0","34.0","21.0","A00032021","Sight TPD-K1 faulty   (MISC_FCS) A00032021","0.0","30.0","NaN","1.0","NaN","0","1","0"
"491","909.0","34.0","22.0","A00032022","Sight1G46 & mirror unit  N/W  (MISC_FCS) A00032022","0.0","30.0","NaN","1.0","NaN","0","1","0"
"492","909.0","34.0","23.0","A00032023","Traverse hand wheel micro s/w faulty (MISC_FCS) A00032023","0.0","30.0","NaN","1.0","NaN","0","1","0"
"493","909.0","34.0","24.0","A00032024","TI ESSA not aligned with arrow mark of 1G 46 (MISC_FCS) A00032024","0.0","30.0","NaN","1.0","NaN","0","1","0"
"494","909.0","34.0","25.0","A00032025","TI sight not constant with main gun (MISC_FCS) A00032025","0.0","30.0","NaN","1.0","NaN","0","1","0"
"495","909.0","34.0","26.0","A00032026","Traverse hand wheel microswitch faulty (MISC_FCS) A00032026","0.0","30.0","NaN","1.0","NaN","0","1","0"
"496","909.0","34.0","27.0","A00032027","VVD range scale N/W (MISC_FCS) A00032027","0.0","30.0","NaN","1.0","NaN","0","1","0"
"497","909.0","35.0","1.0","A00033001","Poor definition in TNPO-165A  (PERISCOPES) A00033001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"498","909.0","35.0","2.0","A00033002","Periscope not seen clearly (PERISCOPES) A00033002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"499","909.0","36.0","1.0","A00034001","Pre-heater N/W  (PRE-HEATING SYS) A00034001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"500","909.0","36.0","2.0","A00034002","Post cooling, Sys faulty  (PRE-HEATING SYS) A00034002","1.0","30.0","NaN","1.0","NaN","0","1","0"
"501","909.0","37.0","1.0","A00035001","CPU card faulty (R/S-CNR 900M) A00035001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"502","909.0","37.0","2.0","A00035002","No power output, TXMR module faulty (R/S-CNR 900M) A00035002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"503","909.0","37.0","3.0","A00035003","No Commn  (R/S-CNR 900M) A00035003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"504","909.0","37.0","4.0","A00035004","Power sup card faulty (R/S-CNR 900M) A00035004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"505","909.0","37.0","5.0","A00035005","no Intercom commn  (R/S-CNR 900M) A00035005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"506","909.0","37.0","6.0","A00035006","Programming faulty (R/S-CNR 900M) A00035006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"507","909.0","37.0","7.0","A00035007","R/S Fender Plate  (R/S-CNR 900M) A00035007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"508","909.0","37.0","8.0","A00035008","R/S not switching On  (R/S-CNR 900M) A00035008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"509","909.0","37.0","9.0","A00035009","R/S CNR faulty  (R/S-CNR 900M) A00035009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"510","909.0","37.0","10.0","A00035010","Rx fail and Txn Module faulty (R/S-CNR 900M) A00035010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"511","909.0","37.0","11.0","A00035011","Rxn module faulty (R/S-CNR 900M) A00035011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"512","909.0","38.0","1.0","A00036001","Aeration in recoil mechanism (RECOIL SYS) A00036001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"513","909.0","38.0","2.0","A00036002","Back Plate locking pin bkn/bent (RECOIL SYS) A00036002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"514","909.0","38.0","3.0","A00036003","Buffer leaking (RECOIL SYS) A00036003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"515","909.0","38.0","4.0","A00036004","Buffer piston jammed (RECOIL SYS) A00036004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"516","909.0","38.0","5.0","A00036005","Control rod piston damaged (RECOIL SYS) A00036005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"517","909.0","38.0","6.0","A00036006","Fluid leaking fromrecoil buffer (RECOIL SYS) A00036006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"518","909.0","38.0","7.0","A00036007","Guide plate jammed  (RECOIL SYS) A00036007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"519","909.0","38.0","8.0","A00036008","Leakage of recoil fluid from post control piston rod (RECOIL SYS) A00036008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"520","909.0","38.0","9.0","A00036009","Locking nut of control rod bkn (RECOIL SYS) A00036009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"521","909.0","38.0","10.0","A00036010","Long Recoil (RECOIL SYS) A00036010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"522","909.0","38.0","11.0","A00036011","Oil leaking from Rt side upper buffer cyl (RECOIL SYS) A00036011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"523","909.0","38.0","12.0","A00036012","Piston guide ring defective (RECOIL SYS) A00036012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"524","909.0","38.0","13.0","A00036013","Pressure vessel accumulator leaking- (RECOIL SYS) A00036013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"525","909.0","38.0","14.0","A00036014","Recoil brake cyl leaking (RECOIL SYS) A00036014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"526","909.0","38.0","15.0","A00036015","Recoil Spring Weak/bkn  (RECOIL SYS) A00036015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"527","909.0","38.0","16.0","A00036016","Recoil damping mechanism leaking- (RECOIL SYS) A00036016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"528","909.0","38.0","17.0","A00036017","Recoil violent (RECOIL SYS) A00036017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"529","909.0","38.0","18.0","A00036018","Sealing system faulty (RECOIL SYS) A00036018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"530","909.0","39.0","1.0","A00037001","Projectile lock on cassette defective (ROTARY CONVEYOR) A00037001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"531","909.0","39.0","2.0","A00037002","Rotary conveyor locked (ROTARY CONVEYOR) A00037002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"532","909.0","39.0","3.0","A00037003","Rotary conveyor rotating manually (ROTARY CONVEYOR) A00037003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"533","909.0","39.0","4.0","A00037004","Rotary conveyor cassate bend (ROTARY CONVEYOR) A00037004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"534","909.0","39.0","5.0","A00037005","Rotary Conveyor handle free (ROTARY CONVEYOR) A00037005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"535","909.0","39.0","6.0","A00037006","Rotary conveyor jammed (ROTARY CONVEYOR) A00037006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"536","909.0","39.0","7.0","A00037007","Rotary Conveyor N/W- (ROTARY CONVEYOR) A00037007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"537","909.0","39.0","8.0","A00037008","Rotary Conveyor not locked  (ROTARY CONVEYOR) A00037008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"538","909.0","40.0","1.0","A00038001","Alternator faults","2.0","30.0","NaN","1.0","NaN","0","1","0"
"539","909.0","41.0","1.0","A00039001","Linkage adj disturbed","0.0","30.0","NaN","1.0","NaN","0","1","0"
"540","909.0","40.0","2.0","A00038002","D-20 Micro switch thrid W/O","0.0","30.0","NaN","1.0","NaN","0","1","0"
"541","909.0","40.0","3.0","A00038003","Bty low power, not cranking","0.0","30.0","NaN","1.0","NaN","0","1","0"
"542","909.0","41.0","2.0","A00039002","Lt & Rt side stick bkn","0.0","30.0","NaN","1.0","NaN","0","1","0"
"543","909.0","40.0","4.0","A00038004","Elect starting trouble (STARTING SYS) A00038004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"544","909.0","40.0","5.0","A00038005","Master switch short cct (STARTING SYS) A00038005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"545","909.0","40.0","6.0","A00038006","Parking  Ring and spring ring UNSV (STARTING SYS) A00038006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"546","909.0","40.0","7.0","A00038007","Combined Push Button N/W (STARTING SYS) A00038007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"547","909.0","40.0","8.0","A00038008","Self Starter N/W  (STARTING SYS) A00038008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"548","909.0","40.0","9.0","A00038009","Starter Gen N/W (STARTING SYS) A00038009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"549","909.0","40.0","10.0","A00038010","Starting trouble (STARTING SYS) A00038010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"550","909.0","41.0","3.0","A00039003","Lt side stick N/W (STEERING SYS) A00039003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"551","909.0","41.0","4.0","A00039004","Steering Arms/Linkages W/O (STEERING SYS) A00039004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"552","909.0","41.0","5.0","A00039005","Rt side stick N/W (STEERING SYS) A00039005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"553","909.0","42.0","1.0","A00040001","Top Roller leaking  (SUSPENSION SYS) A00040001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"554","909.0","42.0","2.0","A00040002","Caster wheel not op (SUSPENSION SYS) A00040002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"555","909.0","42.0","3.0","A00040003","Shock valve HX 09 defective (SUSPENSION SYS) A00040003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"556","909.0","42.0","4.0","A00040004","Support roller brg W/O (SUSPENSION SYS) A00040004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"557","909.0","42.0","5.0","A00040005","Suspension leaking (SUSPENSION SYS) A00040005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"558","909.0","43.0","1.0","A00041001","2,4&5 Bogie wheel rubber W/O (TRACK AND SUSPENSION SYS) A00041001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"559","909.0","43.0","2.0","A00041002","Boggie wheel Unsv (TRACK AND SUSPENSION SYS) A00041002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"560","909.0","43.0","3.0","A00041003","Idler wheel seal leaking  (TRACK AND SUSPENSION SYS) A00041003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"561","909.0","43.0","4.0","A00041004","Torsion Bar Bkn both Right/Left (TRACK AND SUSPENSION SYS) A00041004","0.0","30.0","NaN","1.0","NaN","1","1","0"
"562","909.0","43.0","5.0","A00041005","Lt Side pulling (TRACK AND SUSPENSION SYS) A00041005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"563","909.0","43.0","6.0","A00041006","RH Bogie wheel seal  leaking  (TRACK AND SUSPENSION SYS) A00041006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"564","909.0","43.0","7.0","A00041007","Rt Side pulling  (TRACK AND SUSPENSION SYS) A00041007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"565","909.0","43.0","8.0","A00041008","Shock absorber UNSV  (TRACK AND SUSPENSION SYS) A00041008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"566","909.0","43.0","9.0","A00041009","Track link W/O (TRACK AND SUSPENSION SYS) A00041009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"567","909.0","43.0","10.0","A00041010","Track pin Bkn  (TRACK AND SUSPENSION SYS) A00041010","0.0","30.0","NaN","1.0","NaN","1","1","0"
"568","909.0","43.0","11.0","A00041011","Track adjustment N/W (TRACK AND SUSPENSION SYS) A00041011","0.0","30.0","NaN","2.0","NaN","0","1","0"
"569","909.0","43.0","12.0","A00041012","Side Flap rest bkn (TRACK AND SUSPENSION SYS) A00041012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"570","909.0","44.0","1.0","A00042001","Turret Traverse Mechanism N/W (TRAVERSING GEAR) A00042001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"571","909.0","44.0","2.0","A00042002","Traverse mech hard (TRAVERSING GEAR) A00042002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"572","909.0","45.0","1.0","A00043001","7 Gear LH pulling - (TXN SYS) A00043001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"573","909.0","45.0","2.0","A00043002","Axle arm bkn (TXN SYS) A00043002","0.0","30.0","NaN","1.0","NaN","1","1","0"
"574","909.0","45.0","3.0","A00043003","Axle arm suspension base excessive play (TXN SYS) A00043003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"575","909.0","45.0","4.0","A00043004","Axle locking screw W/O  (TXN SYS) A00043004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"576","909.0","45.0","5.0","A00043005","Bevel gear box shaft bkn (TXN SYS) A00043005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"577","909.0","45.0","6.0","A00043006","Bevel gear lubrication line cracked (TXN SYS) A00043006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"578","909.0","45.0","7.0","A00043007","Bevel Gear box seal Perished  (TXN SYS) A00043007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"579","909.0","45.0","8.0","A00043008","Connecting gear box N/W (TXN SYS) A00043008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"580","909.0","45.0","9.0","A00043009","Cone Reduction gear teeth W/O (TXN SYS) A00043009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"581","909.0","45.0","10.0","A00043010","Cyclonic filter blocked (TXN SYS) A00043010","0.0","30.0","NaN","1.0","NaN","1","1","0"
"582","909.0","45.0","11.0","A00043011","Damper pads perished (TXN SYS) A00043011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"583","909.0","45.0","12.0","A00043012","Distr mechanism mounting bolt loose (TXN SYS) A00043012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"584","909.0","45.0","13.0","A00043013","Driving Gear shaft bkn (TXN SYS) A00043013","0.0","30.0","NaN","1.0","NaN","1","1","0"
"585","909.0","45.0","14.0","A00043014","Fan clutch defective (TXN SYS) A00043014","0.0","30.0","NaN","1.0","NaN","0","1","0"
"586","909.0","45.0","15.0","A00043015","Fan clutch lub pipe joint leak (TXN SYS) A00043015","0.0","30.0","NaN","1.0","NaN","0","1","0"
"587","909.0","45.0","16.0","A00043016","Hose Pipe perished (TXN SYS) A00043016","0.0","30.0","NaN","1.0","NaN","0","1","0"
"588","909.0","45.0","17.0","A00043017","Gear box defective (TXN SYS) A00043017","0.0","30.0","NaN","1.0","NaN","0","1","0"
"589","909.0","45.0","18.0","A00043018","Gear Shifting Hard  (TXN SYS) A00043018","0.0","30.0","NaN","1.0","NaN","0","1","0"
"590","909.0","45.0","19.0","A00043019","Gear box drain plug leak (TXN SYS) A00043019","0.0","30.0","NaN","1.0","NaN","0","1","0"
"591","909.0","45.0","20.0","A00043020","IGB seal leak (TXN SYS) A00043020","0.0","30.0","NaN","1.0","NaN","0","1","0"
"592","909.0","45.0","21.0","A00043021","LHS Gear box defective (TXN SYS) A00043021","0.0","30.0","NaN","1.0","NaN","1","1","0"
"593","909.0","45.0","22.0","A00043022","Lt side final drive shaft bkn (TXN SYS) A00043022","0.0","30.0","NaN","1.0","NaN","1","1","0"
"594","909.0","45.0","23.0","A00043023","Oil Cooler blocked (TXN SYS) A00043023","0.0","30.0","NaN","1.0","NaN","0","1","0"
