"id","erid","cat","eqptstatus","eqptfunctionalstatus","userunit","catasperfrs","issuetype","dataentryclkname","datedataentry","code","regnno","nomenclature","eoavordate","pssdate","dependentwksp","dtofissue","vintagedate","wtystartdate","wtyduration","maineqptlink1","maineqptlink2","remarksasperfrs","repairprogress","tentativedaterepair","contactperson","inkm","chassisno","chassiskm","userchassiskm","userkm","usereqptstatus","userremarks","userupdate","splnotes","eqptloc","regimental_serno","disable"
"167",,"129",,,"92",,,,,,"33EJ940439A","Ashok Leyland Stallion 6x6",,,,"2015-01-06 00:00:00",,,,,,,,,,"181245",,,,,,,,,,,
"168",,"145",,,"107",,,,,,"33HL056686D","Ashok Leyland Bus 1616H",,,,"2006-07-12 00:00:00",,,,,,,,,,"120197",,,,,,,,,,,
"169",,"138",,,"113",,,,,,"33JN944271C","Maruti Suzuki Omni Van",,,,"2015-08-18 00:00:00",,,,,,,,,,"33908",,,,,,,,,,,
"170",,"128",,,"109",,,,,,"33PS077828P","Ashok Leyland Stallion 4x4",,,,"2006-05-18 00:00:00",,,,,,,,,,"134593",,,,,,,,,,,
"171",,"143",,,"93",,,,,,"33UT270576Z","Tata Safari Dicor 2.2",,,,"2007-07-18 00:00:00",,,,,,,,,,"78400",,,,,,,,,,,
"172",,"164",,,"96",,,,,,"34AA230596O","MAN CLA 49.280 Tractor",,,,"2015-07-31 00:00:00",,,,,,,,,,"199698",,,,,,,,,,,
"173",,"123",,,"95",,,,,,"34MZ647447M","LCV 2.5 Ton LPTA 713/715",,,,"2006-07-03 00:00:00",,,,,,,,,,"22970",,,,,,,,,,,
"174",,"143",,,"91",,,,,,"34ZI026011Q","Tata Safari Dicor 2.2",,,,"2010-10-15 00:00:00",,,,,,,,,,"152267",,,,,,,,,,,
"175",,"135",,,"93",,,,,,"35AO654053W","Hero Splendor Plus 100cc",,,,"2010-09-08 00:00:00",,,,,,,,,,"34647",,,,,,,,,,,
"176",,"153",,,"105",,,,,,"35EN397125F","Honda Activa 125cc",,,,"2005-08-05 00:00:00",,,,,,,,,,"2962",,,,,,,,,,,
"177",,"146",,,"95",,,,,,"35FX923792X","Eicher Canter 10.75",,,,"2005-11-13 00:00:00",,,,,,,,,,"146285",,,,,,,,,,,
"178",,"150",,,"91",,,,,,"35HO509629N","Swaraj Tractor 744 FE",,,,"2018-08-15 00:00:00",,,,,,,,,,"66247",,,,,,,,,,,
"179",,"159",,,"110",,,,,,"35OW836903K","Ashok Leyland Hippo 10x10",,,,"2024-12-06 00:00:00",,,,,,,,,,"195998",,,,,,,,,,,
"180",,"137",,,"94",,,,,,"36AY268189O","Mahindra Bolero SLX",,,,"2016-07-02 00:00:00",,,,,,,,,,"177344",,,,,,,,,,,
"181",,"127",,,"92",,,,,,"36CS411944E","LCV DCM Toyota Dyna",,,,"2012-05-18 00:00:00",,,,,,,,,,"88767",,,,,,,,,,,
"182",,"165",,,"104",,,,,,"36DV126386Y","Isuzu D-MAX Pickup",,,,"2020-09-02 00:00:00",,,,,,,,,,"197244",,,,,,,,,,,
"183",,"165",,,"111",,,,,,"36GD233336G","Isuzu D-MAX Pickup",,,,"2018-04-03 00:00:00",,,,,,,,,,"149835",,,,,,,,,,,
"184",,"168",,,"103",,,,,,"36HC238185S","Land Rover Defender 110",,,,"2017-11-25 00:00:00",,,,,,,,,,"76720",,,,,,,,,,,
"185",,"162",,,"108",,,,,,"36HN441033V","Volvo FMX 440 8x4",,,,"2012-11-17 00:00:00",,,,,,,,,,"22617",,,,,,,,,,,
"186",,"121",,,"99",,,,,,"37HK884477T","Maruti Gypsy (All Models)",,,,"2015-09-22 00:00:00",,,,,,,,,,"168601",,,,,,,,,,,
"187",,"126",,,"108",,,,,,"37LR146087M","Tata Sumo Lt Amb",,,,"2020-02-13 00:00:00",,,,,,,,,,"1078",,,,,,,,,,,
"188",,"130",,,"98",,,,,,"37QK320155T","Tata 407 LPT",,,,"2014-12-24 00:00:00",,,,,,,,,,"47262",,,,,,,,,,,
"189",,"151",,,"97",,,,,,"38ER869748T","Mahindra Tractor 575 DI",,,,"2024-12-04 00:00:00",,,,,,,,,,"22604",,,,,,,,,,,
"190",,"164",,,"107",,,,,,"38JY761010P","MAN CLA 49.280 Tractor",,,,"2022-02-18 00:00:00",,,,,,,,,,"64427",,,,,,,,,,,
"191",,"148",,,"107",,,,,,"38OI421521Q","JCB Excavator 3DX",,,,"2024-08-20 00:00:00",,,,,,,,,,"152214",,,,,,,,,,,
"192",,"13",,,"112",,,,,,"39CQ717216H","MC 100cc Hero Honda CD-100",,,,"2012-08-01 00:00:00",,,,,,,,,,"68343",,,,,,,,,,,
"193",,"148",,,"86",,,,,,"39EP720840H","JCB Excavator 3DX",,,,"2007-10-01 00:00:00",,,,,,,,,,"149051",,,,,,,,,,,
"194",,"14",,,"110",,,,,,"39MJ170737J","M/C 350cc R/E",,,,"2010-10-02 00:00:00",,,,,,,,,,"184279",,,,,,,,,,,
"195",,"150",,,"108",,,,,,"39NU495790K","Swaraj Tractor 744 FE",,,,"2018-05-22 00:00:00",,,,,,,,,,"129873",,,,,,,,,,,
"196",,"149",,,"101",,,,,,"39QH050653W","Escort Tractor 60 HP",,,,"2024-11-11 00:00:00",,,,,,,,,,"23991",,,,,,,,,,,
"197",,"125",,,"103",,,,,,"39UN570795S","Swaraj Mazda",,,,"2008-10-29 00:00:00",,,,,,,,,,"108361",,,,,,,,,,,
"198",,"140",,,"111",,,,,,"39VM248477N","Maruti Zen (All Models)",,,,"2019-10-29 00:00:00",,,,,,,,,,"51440",,,,,,,,,,,
"199",,"139",,,"88",,,,,,"39ZW347255D","Maruti Esteem 1300cc",,,,"2009-11-23 00:00:00",,,,,,,,,,"150415",,,,,,,,,,,
"200",,"140",,,"101",,,,,,"40BC946728A","Maruti Zen (All Models)",,,,"2009-11-17 00:00:00",,,,,,,,,,"76619",,,,,,,,,,,
"201",,"129",,,"100",,,,,,"40OR017568I","Ashok Leyland Stallion 6x6",,,,"2007-01-15 00:00:00",,,,,,,,,,"182463",,,,,,,,,,,
"202",,"164",,,"98",,,,,,"40SD432410C","MAN CLA 49.280 Tractor",,,,"2017-05-14 00:00:00",,,,,,,,,,"46106",,,,,,,,,,,
"203",,"121",,,"104",,,,,,"40UD762498J","Maruti Gypsy (All Models)",,,,"2021-05-28 00:00:00",,,,,,,,,,"102324",,,,,,,,,,,
"204",,"150",,,"107",,,,,,"41IM386477M","Swaraj Tractor 744 FE",,,,"2006-04-06 00:00:00",,,,,,,,,,"16363",,,,,,,,,,,
"205",,"132",,,"87",,,,,,"41ND820412R","Bajaj Chetak Scooter",,,,"2014-07-28 00:00:00",,,,,,,,,,"97624",,,,,,,,,,,
"206",,"127",,,"102",,,,,,"41YC484887Y","LCV DCM Toyota Dyna",,,,"2014-03-27 00:00:00",,,,,,,,,,"84923",,,,,,,,,,,
"207",,"127",,,"105",,,,,,"42HM121108I","LCV DCM Toyota Dyna",,,,"2011-06-09 00:00:00",,,,,,,,,,"85204",,,,,,,,,,,
"208",,"151",,,"101",,,,,,"42IB227901Y","Mahindra Tractor 575 DI",,,,"2013-05-08 00:00:00",,,,,,,,,,"20774",,,,,,,,,,,
"209",,"166",,,"93",,,,,,"42IZ852139Q","Toyota Hilux Pickup",,,,"2010-12-08 00:00:00",,,,,,,,,,"29330",,,,,,,,,,,
"210",,"149",,,"97",,,,,,"42MQ721562E","Escort Tractor 60 HP",,,,"2008-11-09 00:00:00",,,,,,,,,,"153442",,,,,,,,,,,
"211",,"153",,,"95",,,,,,"42PY298614M","Honda Activa 125cc",,,,"2013-03-31 00:00:00",,,,,,,,,,"38685",,,,,,,,,,,
"212",,"156",,,"97",,,,,,"43EJ199436K","Yamaha FZ-S V3 150cc",,,,"2009-10-20 00:00:00",,,,,,,,,,"109574",,,,,,,,,,,
"213",,"163",,,"110",,,,,,"43GK530479C","Mercedes-Benz Actros 4841K",,,,"2007-08-27 00:00:00",,,,,,,,,,"177994",,,,,,,,,,,
"214",,"13",,,"111",,,,,,"43IM539713G","MC 100cc Hero Honda CD-100",,,,"2020-05-17 00:00:00",,,,,,,,,,"84295",,,,,,,,,,,
"215",,"159",,,"114",,,,,,"43OH940776F","Ashok Leyland Hippo 10x10",,,,"2022-10-27 00:00:00",,,,,,,,,,"47377",,,,,,,,,,,
"216",,"126",,,"89",,,,,,"43OY760144W","Tata Sumo Lt Amb",,,,"2007-03-19 00:00:00",,,,,,,,,,"43479",,,,,,,,,,,
"217",,"160",,,"87",,,,,,"43SR096544R","Tata Prima 4028 Truck",,,,"2015-03-10 00:00:00",,,,,,,,,,"129677",,,,,,,,,,,
"218",,"131",,,"105",,,,,,"44AA650026T","Tata 709 LPTA",,,,"2007-08-31 00:00:00",,,,,,,,,,"192021",,,,,,,,,,,
"219",,"14",,,"101",,,,,,"44GV491680P","M/C 350cc R/E",,,,"2011-04-28 00:00:00",,,,,,,,,,"33400",,,,,,,,,,,
"220",,"166",,,"114",,,,,,"44MJ668814X","Toyota Hilux Pickup",,,,"2012-04-11 00:00:00",,,,,,,,,,"49374",,,,,,,,,,,
"221",,"143",,,"100",,,,,,"44MJ967005M","Tata Safari Dicor 2.2",,,,"2008-02-01 00:00:00",,,,,,,,,,"63532",,,,,,,,,,,
"222",,"121",,,"97",,,,,,"44ML663011V","Maruti Gypsy (All Models)",,,,"2005-12-31 00:00:00",,,,,,,,,,"88131",,,,,,,,,,,
"223",,"147",,,"98",,,,,,"44TB528394H","BEML Dozer BD-80",,,,"2021-07-29 00:00:00",,,,,,,,,,"14197",,,,,,,,,,,
"224",,"152",,,"105",,,,,,"44XW094630W","Hero Passion Pro 110cc",,,,"2014-12-19 00:00:00",,,,,,,,,,"65827",,,,,,,,,,,
"225",,"140",,,"99",,,,,,"45OP829970U","Maruti Zen (All Models)",,,,"2018-01-09 00:00:00",,,,,,,,,,"39985",,,,,,,,,,,
"226",,"132",,,"108",,,,,,"45ZX849850E","Bajaj Chetak Scooter",,,,"2007-08-25 00:00:00",,,,,,,,,,"146607",,,,,,,,,,,
"227",,"124",,,"114",,,,,,"46JZ541058F","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2015-11-19 00:00:00",,,,,,,,,,"80884",,,,,,,,,,,
"228",,"130",,,"103",,,,,,"46SH392527O","Tata 407 LPT",,,,"2013-06-08 00:00:00",,,,,,,,,,"151418",,,,,,,,,,,
"229",,"168",,,"104",,,,,,"46XT138741G","Land Rover Defender 110",,,,"2006-04-11 00:00:00",,,,,,,,,,"185951",,,,,,,,,,,
"230",,"141",,,"86",,,,,,"47GD371954Q","Tata Indica V2 Diesel",,,,"2023-05-03 00:00:00",,,,,,,,,,"3073",,,,,,,,,,,
"231",,"159",,,"106",,,,,,"47HU158446S","Ashok Leyland Hippo 10x10",,,,"2020-12-30 00:00:00",,,,,,,,,,"174278",,,,,,,,,,,
"232",,"141",,,"92",,,,,,"47HV566573Y","Tata Indica V2 Diesel",,,,"2017-05-29 00:00:00",,,,,,,,,,"9426",,,,,,,,,,,
"233",,"141",,,"104",,,,,,"47NE953859V","Tata Indica V2 Diesel",,,,"2007-12-09 00:00:00",,,,,,,,,,"198882",,,,,,,,,,,
"234",,"123",,,"101",,,,,,"47OG148663V","LCV 2.5 Ton LPTA 713/715",,,,"2014-05-20 00:00:00",,,,,,,,,,"119403",,,,,,,,,,,
"235",,"126",,,"92",,,,,,"47XT209864Y","Tata Sumo Lt Amb",,,,"2015-09-06 00:00:00",,,,,,,,,,"145738",,,,,,,,,,,
"236",,"120",,,"92",,,,,,"47ZA272931H","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2017-05-26 00:00:00",,,,,,,,,,"113590",,,,,,,,,,,
"237",,"13",,,"108",,,,,,"48DA389356V","MC 100cc Hero Honda CD-100",,,,"2009-04-15 00:00:00",,,,,,,,,,"66368",,,,,,,,,,,
"238",,"131",,,"115",,,,,,"48EB422631M","Tata 709 LPTA",,,,"2021-08-24 00:00:00",,,,,,,,,,"41601",,,,,,,,,,,
"239",,"145",,,"93",,,,,,"48PI513302X","Ashok Leyland Bus 1616H",,,,"2014-04-07 00:00:00",,,,,,,,,,"197720",,,,,,,,,,,
"240",,"144",,,"97",,,,,,"49AN604257O","Force Motors Traveller 3050",,,,"2021-04-09 00:00:00",,,,,,,,,,"112956",,,,,,,,,,,
"241",,"166",,,"97",,,,,,"49CA033537O","Toyota Hilux Pickup",,,,"2018-11-01 00:00:00",,,,,,,,,,"20575",,,,,,,,,,,
"242",,"127",,,"100",,,,,,"49QF274872E","LCV DCM Toyota Dyna",,,,"2023-12-08 00:00:00",,,,,,,,,,"111701",,,,,,,,,,,
"243",,"166",,,"104",,,,,,"49SZ530605I","Toyota Hilux Pickup",,,,"2019-05-15 00:00:00",,,,,,,,,,"152909",,,,,,,,,,,
"244",,"150",,,"102",,,,,,"49TW643424A","Swaraj Tractor 744 FE",,,,"2007-11-06 00:00:00",,,,,,,,,,"172110",,,,,,,,,,,
"245",,"165",,,"98",,,,,,"50RJ142774Y","Isuzu D-MAX Pickup",,,,"2005-12-14 00:00:00",,,,,,,,,,"156616",,,,,,,,,,,
"246",,"137",,,"115",,,,,,"50VN623320L","Mahindra Bolero SLX",,,,"2020-09-12 00:00:00",,,,,,,,,,"91044",,,,,,,,,,,
"247",,"167",,,"112",,,,,,"50VS421439U","Nissan Patrol 4x4",,,,"2024-08-10 00:00:00",,,,,,,,,,"11612",,,,,,,,,,,
"248",,"142",,,"88",,,,,,"50XV068217X","Tata Indigo LS",,,,"2022-04-21 00:00:00",,,,,,,,,,"179629",,,,,,,,,,,
"249",,"164",,,"99",,,,,,"51DM353027Y","MAN CLA 49.280 Tractor",,,,"2015-10-21 00:00:00",,,,,,,,,,"33610",,,,,,,,,,,
"250",,"147",,,"101",,,,,,"51GW097130E","BEML Dozer BD-80",,,,"2019-07-12 00:00:00",,,,,,,,,,"116564",,,,,,,,,,,
"251",,"142",,,"110",,,,,,"51UF852344P","Tata Indigo LS",,,,"2022-07-16 00:00:00",,,,,,,,,,"136254",,,,,,,,,,,
"252",,"154",,,"86",,,,,,"52HN666219Z","TVS Apache RTR 160cc",,,,"2011-04-29 00:00:00",,,,,,,,,,"147838",,,,,,,,,,,
"253",,"154",,,"114",,,,,,"52LN934487V","TVS Apache RTR 160cc",,,,"2011-03-10 00:00:00",,,,,,,,,,"52183",,,,,,,,,,,
"254",,"165",,,"101",,,,,,"52MG807828O","Isuzu D-MAX Pickup",,,,"2011-01-03 00:00:00",,,,,,,,,,"30557",,,,,,,,,,,
"255",,"168",,,"110",,,,,,"52QH409100I","Land Rover Defender 110",,,,"2008-07-17 00:00:00",,,,,,,,,,"61061",,,,,,,,,,,
"256",,"144",,,"95",,,,,,"52UN510909J","Force Motors Traveller 3050",,,,"2008-04-24 00:00:00",,,,,,,,,,"58013",,,,,,,,,,,
"257",,"121",,,"110",,,,,,"52WA821076Q","Maruti Gypsy (All Models)",,,,"2014-08-26 00:00:00",,,,,,,,,,"18752",,,,,,,,,,,
"258",,"13",,,"109",,,,,,"53RH656084T","MC 100cc Hero Honda CD-100",,,,"2008-09-21 00:00:00",,,,,,,,,,"72011",,,,,,,,,,,
"259",,"146",,,"105",,,,,,"53SL742196U","Eicher Canter 10.75",,,,"2019-03-31 00:00:00",,,,,,,,,,"35718",,,,,,,,,,,
"260",,"167",,,"113",,,,,,"54GX507718U","Nissan Patrol 4x4",,,,"2010-03-28 00:00:00",,,,,,,,,,"27194",,,,,,,,,,,
"261",,"144",,,"104",,,,,,"54XF131277T","Force Motors Traveller 3050",,,,"2022-01-04 00:00:00",,,,,,,,,,"107199",,,,,,,,,,,
"262",,"127",,,"101",,,,,,"55AT465288T","LCV DCM Toyota Dyna",,,,"2014-04-06 00:00:00",,,,,,,,,,"39652",,,,,,,,,,,
"263",,"144",,,"95",,,,,,"55AV840689D","Force Motors Traveller 3050",,,,"2019-07-03 00:00:00",,,,,,,,,,"27014",,,,,,,,,,,
"264",,"156",,,"106",,,,,,"55KU813467P","Yamaha FZ-S V3 150cc",,,,"2010-02-27 00:00:00",,,,,,,,,,"95311",,,,,,,,,,,
"265",,"164",,,"104",,,,,,"55YR257589M","MAN CLA 49.280 Tractor",,,,"2006-04-05 00:00:00",,,,,,,,,,"176639",,,,,,,,,,,
"266",,"132",,,"114",,,,,,"56KD612551V","Bajaj Chetak Scooter",,,,"2021-01-07 00:00:00",,,,,,,,,,"31302",,,,,,,,,,,
"267",,"137",,,"97",,,,,,"56RI580943F","Mahindra Bolero SLX",,,,"2020-06-03 00:00:00",,,,,,,,,,"75207",,,,,,,,,,,
"268",,"153",,,"115",,,,,,"56SH661961Y","Honda Activa 125cc",,,,"2016-10-13 00:00:00",,,,,,,,,,"16049",,,,,,,,,,,
"269",,"130",,,"86",,,,,,"56WF676849N","Tata 407 LPT",,,,"2006-09-26 00:00:00",,,,,,,,,,"151059",,,,,,,,,,,
"270",,"159",,,"91",,,,,,"56WP475653N","Ashok Leyland Hippo 10x10",,,,"2005-11-17 00:00:00",,,,,,,,,,"1784",,,,,,,,,,,
"271",,"148",,,"89",,,,,,"56YM705239U","JCB Excavator 3DX",,,,"2005-09-05 00:00:00",,,,,,,,,,"48048",,,,,,,,,,,
"272",,"143",,,"93",,,,,,"56ZY770400Q","Tata Safari Dicor 2.2",,,,"2014-08-26 00:00:00",,,,,,,,,,"124970",,,,,,,,,,,
"273",,"154",,,"113",,,,,,"57AN264821N","TVS Apache RTR 160cc",,,,"2009-04-08 00:00:00",,,,,,,,,,"40569",,,,,,,,,,,
"274",,"153",,,"93",,,,,,"57CR992971L","Honda Activa 125cc",,,,"2007-07-02 00:00:00",,,,,,,,,,"133975",,,,,,,,,,,
"275",,"123",,,"88",,,,,,"57LZ928189W","LCV 2.5 Ton LPTA 713/715",,,,"2007-01-30 00:00:00",,,,,,,,,,"52520",,,,,,,,,,,
"276",,"125",,,"90",,,,,,"57QA479053L","Swaraj Mazda",,,,"2016-01-10 00:00:00",,,,,,,,,,"46397",,,,,,,,,,,
"277",,"144",,,"90",,,,,,"57TF294413C","Force Motors Traveller 3050",,,,"2017-04-06 00:00:00",,,,,,,,,,"82099",,,,,,,,,,,
"278",,"135",,,"99",,,,,,"57YH491532O","Hero Splendor Plus 100cc",,,,"2007-08-28 00:00:00",,,,,,,,,,"5225",,,,,,,,,,,
"279",,"145",,,"95",,,,,,"58LQ904510A","Ashok Leyland Bus 1616H",,,,"2021-06-04 00:00:00",,,,,,,,,,"29366",,,,,,,,,,,
"280",,"166",,,"115",,,,,,"58NA663951R","Toyota Hilux Pickup",,,,"2006-04-12 00:00:00",,,,,,,,,,"52912",,,,,,,,,,,
"281",,"164",,,"99",,,,,,"58WB424037M","MAN CLA 49.280 Tractor",,,,"2014-06-29 00:00:00",,,,,,,,,,"152897",,,,,,,,,,,
"282",,"166",,,"86",,,,,,"58XB959251X","Toyota Hilux Pickup",,,,"2021-11-08 00:00:00",,,,,,,,,,"76199",,,,,,,,,,,
"283",,"122",,,"93",,,,,,"59BY031400K","Jeep M&M 550XD",,,,"2011-04-25 00:00:00",,,,,,,,,,"2058",,,,,,,,,,,
"284",,"166",,,"89",,,,,,"59EK770704M","Toyota Hilux Pickup",,,,"2006-10-11 00:00:00",,,,,,,,,,"71702",,,,,,,,,,,
"285",,"142",,,"96",,,,,,"59KQ478180F","Tata Indigo LS",,,,"2016-03-24 00:00:00",,,,,,,,,,"19144",,,,,,,,,,,
"286",,"160",,,"108",,,,,,"60AA816411Y","Tata Prima 4028 Truck",,,,"2022-04-20 00:00:00",,,,,,,,,,"68552",,,,,,,,,,,
"287",,"144",,,"100",,,,,,"60EV569077F","Force Motors Traveller 3050",,,,"2010-03-17 00:00:00",,,,,,,,,,"107004",,,,,,,,,,,
"288",,"150",,,"94",,,,,,"60WK283508W","Swaraj Tractor 744 FE",,,,"2022-07-16 00:00:00",,,,,,,,,,"21849",,,,,,,,,,,
"289",,"14",,,"112",,,,,,"61BZ920458M","M/C 350cc R/E",,,,"2018-04-24 00:00:00",,,,,,,,,,"149518",,,,,,,,,,,
"290",,"135",,,"95",,,,,,"61JF932154X","Hero Splendor Plus 100cc",,,,"2018-06-06 00:00:00",,,,,,,,,,"10698",,,,,,,,,,,
"291",,"155",,,"97",,,,,,"61PH730675D","Yamaha RX-100",,,,"2006-01-09 00:00:00",,,,,,,,,,"97982",,,,,,,,,,,
"292",,"161",,,"104",,,,,,"61XB114905I","Scania P410 Tipper",,,,"2005-02-06 00:00:00",,,,,,,,,,"158625",,,,,,,,,,,
"293",,"126",,,"100",,,,,,"62BD173194C","Tata Sumo Lt Amb",,,,"2012-02-14 00:00:00",,,,,,,,,,"53299",,,,,,,,,,,
"294",,"150",,,"114",,,,,,"62BJ784047V","Swaraj Tractor 744 FE",,,,"2023-11-07 00:00:00",,,,,,,,,,"65879",,,,,,,,,,,
"295",,"165",,,"114",,,,,,"62GK147165A","Isuzu D-MAX Pickup",,,,"2006-08-18 00:00:00",,,,,,,,,,"190638",,,,,,,,,,,
"296",,"156",,,"96",,,,,,"62JK666323M","Yamaha FZ-S V3 150cc",,,,"2011-04-12 00:00:00",,,,,,,,,,"139437",,,,,,,,,,,
"297",,"14",,,"110",,,,,,"62KR335115T","M/C 350cc R/E",,,,"2013-09-26 00:00:00",,,,,,,,,,"123205",,,,,,,,,,,
"298",,"155",,,"101",,,,,,"62KY751554F","Yamaha RX-100",,,,"2024-12-19 00:00:00",,,,,,,,,,"164518",,,,,,,,,,,
"299",,"154",,,"95",,,,,,"62MZ236859Q","TVS Apache RTR 160cc",,,,"2012-06-27 00:00:00",,,,,,,,,,"68649",,,,,,,,,,,
"300",,"147",,,"101",,,,,,"62PQ114289U","BEML Dozer BD-80",,,,"2006-02-28 00:00:00",,,,,,,,,,"183846",,,,,,,,,,,
"301",,"166",,,"109",,,,,,"62QO397421T","Toyota Hilux Pickup",,,,"2014-05-19 00:00:00",,,,,,,,,,"174048",,,,,,,,,,,
"302",,"134",,,"115",,,,,,"62SG605520C","Royal Enfield 500cc Classic",,,,"2021-12-28 00:00:00",,,,,,,,,,"92375",,,,,,,,,,,
"303",,"137",,,"108",,,,,,"62US470397J","Mahindra Bolero SLX",,,,"2011-02-27 00:00:00",,,,,,,,,,"199153",,,,,,,,,,,
"304",,"123",,,"96",,,,,,"62VR947870H","LCV 2.5 Ton LPTA 713/715",,,,"2007-04-02 00:00:00",,,,,,,,,,"14188",,,,,,,,,,,
"305",,"123",,,"88",,,,,,"62VU843798B","LCV 2.5 Ton LPTA 713/715",,,,"2008-10-10 00:00:00",,,,,,,,,,"55356",,,,,,,,,,,
"306",,"135",,,"110",,,,,,"62WU969377D","Hero Splendor Plus 100cc",,,,"2017-12-29 00:00:00",,,,,,,,,,"101583",,,,,,,,,,,
"307",,"124",,,"92",,,,,,"62YH926494G","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2015-05-29 00:00:00",,,,,,,,,,"168023",,,,,,,,,,,
"308",,"14",,,"92",,,,,,"63AL806842G","M/C 350cc R/E",,,,"2011-09-12 00:00:00",,,,,,,,,,"76825",,,,,,,,,,,
"309",,"14",,,"92",,,,,,"63AZ524497V","M/C 350cc R/E",,,,"2005-01-20 00:00:00",,,,,,,,,,"53872",,,,,,,,,,,
"310",,"166",,,"94",,,,,,"63EA806015R","Toyota Hilux Pickup",,,,"2015-10-30 00:00:00",,,,,,,,,,"94646",,,,,,,,,,,
"311",,"13",,,"100",,,,,,"63HU329817J","MC 100cc Hero Honda CD-100",,,,"2020-04-25 00:00:00",,,,,,,,,,"50280",,,,,,,,,,,
"312",,"150",,,"105",,,,,,"63NO003291M","Swaraj Tractor 744 FE",,,,"2019-01-30 00:00:00",,,,,,,,,,"64363",,,,,,,,,,,
"313",,"166",,,"102",,,,,,"63WA213797U","Toyota Hilux Pickup",,,,"2023-01-05 00:00:00",,,,,,,,,,"67741",,,,,,,,,,,
"314",,"145",,,"113",,,,,,"64CF170743V","Ashok Leyland Bus 1616H",,,,"2023-05-09 00:00:00",,,,,,,,,,"129424",,,,,,,,,,,
"315",,"127",,,"111",,,,,,"64EG089284O","LCV DCM Toyota Dyna",,,,"2022-10-25 00:00:00",,,,,,,,,,"163622",,,,,,,,,,,
"316",,"150",,,"98",,,,,,"64IM004135J","Swaraj Tractor 744 FE",,,,"2021-06-24 00:00:00",,,,,,,,,,"130490",,,,,,,,,,,
"317",,"134",,,"91",,,,,,"64JU362133G","Royal Enfield 500cc Classic",,,,"2007-08-02 00:00:00",,,,,,,,,,"37842",,,,,,,,,,,
"318",,"140",,,"91",,,,,,"64OY461562F","Maruti Zen (All Models)",,,,"2021-10-10 00:00:00",,,,,,,,,,"78136",,,,,,,,,,,
"319",,"155",,,"96",,,,,,"64RI355805F","Yamaha RX-100",,,,"2016-04-27 00:00:00",,,,,,,,,,"150645",,,,,,,,,,,
"320",,"136",,,"110",,,,,,"64TL937269Q","Mahindra Commander Jeep",,,,"2005-01-02 00:00:00",,,,,,,,,,"123756",,,,,,,,,,,
"321",,"138",,,"90",,,,,,"65AK232061F","Maruti Suzuki Omni Van",,,,"2016-07-19 00:00:00",,,,,,,,,,"152173",,,,,,,,,,,
"322",,"127",,,"113",,,,,,"65ED382947K","LCV DCM Toyota Dyna",,,,"2017-05-15 00:00:00",,,,,,,,,,"143521",,,,,,,,,,,
"323",,"131",,,"113",,,,,,"65JU890348G","Tata 709 LPTA",,,,"2018-09-16 00:00:00",,,,,,,,,,"97373",,,,,,,,,,,
"324",,"136",,,"88",,,,,,"65TU087155X","Mahindra Commander Jeep",,,,"2024-12-08 00:00:00",,,,,,,,,,"173418",,,,,,,,,,,
"325",,"131",,,"89",,,,,,"65XO179386H","Tata 709 LPTA",,,,"2009-12-20 00:00:00",,,,,,,,,,"48276",,,,,,,,,,,
"326",,"158",,,"87",,,,,,"66HU795551P","Piaggio Ape Auto Rickshaw",,,,"2011-02-25 00:00:00",,,,,,,,,,"97322",,,,,,,,,,,
"327",,"162",,,"88",,,,,,"66NX028446B","Volvo FMX 440 8x4",,,,"2005-05-01 00:00:00",,,,,,,,,,"75795",,,,,,,,,,,
"328",,"148",,,"95",,,,,,"66XR011615F","JCB Excavator 3DX",,,,"2016-10-16 00:00:00",,,,,,,,,,"136928",,,,,,,,,,,
"329",,"132",,,"108",,,,,,"66YY699616I","Bajaj Chetak Scooter",,,,"2006-05-30 00:00:00",,,,,,,,,,"156510",,,,,,,,,,,
"330",,"140",,,"96",,,,,,"67OO609578L","Maruti Zen (All Models)",,,,"2012-04-13 00:00:00",,,,,,,,,,"92669",,,,,,,,,,,
"331",,"128",,,"86",,,,,,"68HZ888071H","Ashok Leyland Stallion 4x4",,,,"2023-09-07 00:00:00",,,,,,,,,,"193310",,,,,,,,,,,
"332",,"163",,,"94",,,,,,"68JD895307M","Mercedes-Benz Actros 4841K",,,,"2013-02-04 00:00:00",,,,,,,,,,"82221",,,,,,,,,,,
"333",,"157",,,"114",,,,,,"68KX376994Q","Suzuki Access 125cc",,,,"2006-09-03 00:00:00",,,,,,,,,,"151592",,,,,,,,,,,
"334",,"147",,,"92",,,,,,"68PU263303C","BEML Dozer BD-80",,,,"2015-11-28 00:00:00",,,,,,,,,,"83667",,,,,,,,,,,
"335",,"159",,,"97",,,,,,"68VD859005F","Ashok Leyland Hippo 10x10",,,,"2023-04-11 00:00:00",,,,,,,,,,"17803",,,,,,,,,,,
"336",,"128",,,"90",,,,,,"69BV885365Z","Ashok Leyland Stallion 4x4",,,,"2011-04-28 00:00:00",,,,,,,,,,"169068",,,,,,,,,,,
"337",,"123",,,"106",,,,,,"69DS902702A","LCV 2.5 Ton LPTA 713/715",,,,"2006-04-02 00:00:00",,,,,,,,,,"43706",,,,,,,,,,,
